,EssayTopic,EssayBody,S1,S2,S3,EssayScore
10,Topic," It has been suggested that high school students should be involved in i unpaid community services as a compulsory part of high school programmes . /dost of the colleges are already prodding opportunities to gain work experience, however these are not compulsory. In my opinion, sending students to work in community services is a good idea as it can provide them with many lots of valuable skills.  Life skills are very important and by doing voluntary work, students can learn how to communicate with others and work in a team but also how to manage their time and improve their organisational skills. Nowadays, unfortunately, teenagers do not haue many after-school activities. After-school clubs are no longer that popular and students mostly go home and sit in front of the TV, browse internet or play video games.  By giving them compulsory work activities with charitable or community organisations, they will be encouraged to do something more creative. Skills gained through compulsory work will not only be an asset on their CV but also increase their employability. Students will also gain more respect towards work and money as they will realise that it is not that easy to earn them and hopefully will learn to spend them in a more practical way.  Healthy life balance and exercise are strongly promoted by the NHS, and therefore any kind of spare time charity work will prevent from sitting and doing nothing. It could also possibly reduce the crime level m the high school age group. If students have activities to do, they will not be bored and come up with silly ideas which can be dangerous for them or their surroundings .  In conclusion, I think this is a very good idea, and I hope this programme will be put into action for high schools/colleges shortly.",8,8,8,8
11,Topic," Traditionally, children have begun studying foreign languages at secondary school. But introducing them earlier is recommended by some educationalists. This policy has been adopted by some educational authorities or individual schools. with both positive and negative outcomes.  The obvious argument in its favour is that young children pick up languages much more easily than teenagers. Their brains are still programmed to acquire their mother tongue, which facilitates teaming another language, and unlike adolescents, they are not inhibited by self-consciousness.  The greater flexibility of the primary timetable allows for more frequent, shorter sessions and for a play-centered approach, thus maintaining learners enthusiasm and progress. Their command of the language in later life will benefit from this early exposure. while teaming other languages subsequently will be easier for them. They may also gain a better understanding of other cultures.  There are, however, some disadvantages. Primary school teachers are generalists, and may not have the necessary language skills themselves. If specialists have to be brought in to deliver these sessions, the flexibility referred to above ls diminished. If primary language leaching is not standardized, secondary schools could be laced with a great variety of levels in different languages within their intake, resulting in a classroom experience which undoes the earlier gains. There is no advantage it enthusiastic primary pupils become demotivated as soon as they change schools. However, these issues can be addressed strategically within the policy adopted.  Anything which encourages language teaming benefits society culturally and economically, and early exposure to language learning contributes to this. Young children’s innate abilities should be harnessed to make these benefits more achievable.",8.5,8.5,8.5,8.5
12,Topic," Nowadays, purpose of education being changed in Korea. There are some people who think that competition in children should be made, also others believe that children who are taught to co-operate as well as become more useful adults. There are advantages and disadvantages for both of the arguments. To being with, what is good if a sense of competition in children is made? They could develop themselves more and more as they learn and study a lot to win from the competition. To prove this, in Korea, it is popular – even common now – to have a tutor who come to student’s house to teach extra pieces of study with paying a lot of money. They learn faster than what they learn at school. Furthermore, during the vacations, students study abroad to learn English for a month instead of revise school work. If they have experiments such as study abroad, it is one of the greatest plus point to go to the famous well-known high school. Moreover, there are four big school exam and two national examinations to test students’ level of studies. Generally, only the highest 40% can go to the good quality highschools and colleges. Children learn as much as they can, to win the competition to obtain good quality schools. On the other hand, as they are busy to enter the school and study individually with their own tutors, there are problems. They become selfish. They become careless and don’t help others a lot if it is about studies. There will be no co-operations for them. Then, why are there companies for many people to work in? Each of them are clever, however, there are weak parts and strong parts for each person. To co-operate is to improve this part. People talk and listen to what other think of and learn. That could also be a great opportunity to learn instead of learning alone with one teacher. In conclusion, I strongly agree with that children should be taught to co-operate rather than compete. Nobody is perfect. People learn together, work together to develop each other. Therefore, I want parents and teachers to educate children concentrating on co-operation, no to compete and ranking them.",6,6,6,6
13,What are the most important challenges or problems of university life?," Studying at university will certainly be fraught with problems that students will have to deal with. In my opinion, conditions are naturally more difficult for those who study in a city other than their hometown. The most important problems of these students, in addition to the cost of education, are accommodation and homesickness. Each student has to prepare relevant books to study in any field. Fortunately, nowadays, due to the development of technology and easier access to the Internet, students are able to purchase books for free or buy them at a lower price. Students, who live in dormitories, have group life; some items such as bathroom and kitchen are shared between them, which makes it hard for some of these students to endure university life. In my opinion, living in dormitories is one of the main reasons which causes homesickness, boredom and unhappiness. For students who have left their hometown to study, it is most of the times annoying to be away from their family and friends. Just as advances in technology have minimized the enormous cost of preparing books for students, so too have advances made it possible for them to communicate with families and friends more easily than before, which mostly relieves their homesickness. University life has many problems that every student has to deal with in order to get through his/her studies well. If a student is not strong enough to cope with such living conditions, he/she can easily become exhausted and dropping out of university is the least of the consequences.",6,6.5,6.5,6.5
14,What are the characteristics of bad teachers?," Bad teachers, for sure, are one of the main reasons why students hate school. These kinds of teachers often don’t have organization skills and class management and this way they turn school into a frustrating and embarrassing environment. In my opinion, the inability to communicate with students is another characteristic of bad teachers. If a teacher doesn’t have the ability to teach, all he/she can do is reading from his/her pre-prepared notes without mastering it. This way, he/she isn’t even able to answer the students’ questions. Class management is one of the most important factors that affects class order. If the teacher isn’t able to run the class, chaos will prevent him/her from teaching well. In such a case, the task of establishing classroom order falls to the students who are selected as the group leader by the teacher. Communication is also essential. Bad teachers who aren’t able to establish friendly relation with students, create an unpleasant atmosphere for them. Not being able to establish an intimate relationship, the teacher can’t make a good impression on students and provide a suitable environment for better teaching; so even the smartest students won’t be able to learn subjects well. School is one of the most important organs in which a person spend many hours of the day. Therefore, in the first place, teachers must have the ability of teaching and truly love their job and students in order to make school a good environment for education.",6.5,6,6,6
15,Topic," The relative importance of natural talent and training is a frequent topic of discussion when people try to explain different levels of ability in, for example, sport, art or music. Obviously, education systems are based on the belief that all children can effectively be taught to acquire different skills, including those associated with sport, art or music. So from our own school experience, we can find plenty of evidence to support the view that a child can acquire these skills with continued teaching and guided practice. However, some people believe that innate talent is what differentiates a person who has been trained to play a sport or an instrument, from those who become good players. In other words, there is more to the skill than a learned technique, and this extra talent cannot be taught, no matter how good the teacher or how frequently a child practices. I personally think that some people do have talents that are probably inherited via their genes. Such talents can give individuals a facility for certain skills that allow them to excel, while more hard-working students never manage to reach a comparable level. But, as with all questions of nature versus nurture, they are not mutually exclusive. Good musicians or artists and exceptional sports stars have probably succeeded because of both good training and natural talent. Without the natural talent, continuous training would be neither attractive nor productive, and without the training, the child would not learn how to exploit and develop their talent. In conclusion, I agree that any child can be taught particular skills, but to be really good in areas such as music, art or sport, then some natural talent is required",8,8,8,8
16,Topic," Nowadays the way people interact with each other has changed because of  technology. Yes, the technology has changed the peopled Interaction In very enhanced manner.  Earlier people use to walt and try to find easy way to contact their friends or relatives leaving far. In past there was no quick technology to contact or to establish any communication between one person to another person. The Drawback with past communication systems was that It were very slow and were time taking process such as telegrams, letter etc. People used to afraid to write their personal feedbacks or things to their love ones due to insecure medium of communication. When it comes to professional level, the privacy and accuracy should be maintain but, to that time there were no secure communications.  Now the things have changed around, people from far distance contact their loves one In an easy and quick ways which Improves the Interaction level be tureen tmo person. Quality the level of the Interaction between people to people* has Improved because the people are equipped mlth high-tec technology which enhances the communication. There are many many medium which are available nom such as Internet, Calling Cards etc.  The technology has provided the mobility faster which help people to talk or to Interact at any time anywhere In the world.  People can contact their friend or relatives any time they want. It has become easier and feriendly to be in touch with your feriends, relatives even with the unknown people.",5.5,5.5,5.5,5.5
17,Topic," There is no doubt that traffic and pollution from vehicles have become huge problems, both in cities and on motorways everywhere. Solving these problems is likely to need more than a simple rise in the price of petrol. While it is undeniable that private car use is one of the main causes of the increase in traffic and pollution, higher fuel costs are unlikely to limit the number of drivers for long. As this policy would also affect the cost of public transport, it would be very unpopular with everyone who needs to travel on the roads. But there are various other measures that could be implemented that would have a huge effect on these problems. I think to tackle the problem of pollution, cleaner fuels need to be developed. The technology is already available to produce electric cars that would be both quieter and cleaner to use. Persuading manufacturers and travellers to adopt this new technology would be a more effective strategy for improving air quality, especially in cities. However, traffic congestion will not be solved by changing the type of private vehicle people can use. To do this, we need to improve the choice of public transport services available to travellers. For example, if sufficient sky trains and underground train systems were built and effectively maintained in our major cities, then traffic on the roads would be dramatically reduced. Long—distance train and coach services should be made attractive and affordable alternatives to driving your own car for long journeys. In conclusion, I think that long-term traffic and pollution reductions would depend on educating the public to use public transport more, and on governments using public money to construct and run efficient systems.",8.5,8,8,8
18,Topic," Fixing punishments for each type of crime has been a debateable issue. There are many arguments supporting both views, those for and those against fixed punishments.  On the one hand, fixed punishments will have a deterring effect on society. Individuals knowing that they will be subject to a certain punishment if they are convicted with a given crime, will reconsider committing this act in the first place.  This deterring effect also leads to social stability and security, through minimising the number of crimes committed.  If people knew they would be able to convince the court or the jury of a reason for having committed the crime they are accused of, penal decisions would be largely arbitrary. This would result into criminals getting away with their crimes and into a high level of injustice caused by the subjective approach of different courts.  On the other hand, taking the circumstances of a crime and its motivation into consideration is a prerequisite for establishing and ensuring justice and equity.  A person killing in self-defense cannot be compared to a serial killer, moving from one victim to the next. In my opinion an intermediary position between both solutions is the perfect way to establish and ensure justice and equity.  There have to be fixed punishments for all crimes. However, criminal laws have to provide for a minimum and a maximum for the punishment and the laws also have to foresee certain cases of exemptions.  An example for setting minimum and maximum penalties is Competition Law where a person being held liable of a crime under this law will be convicted to pay a fine, according to the harm caused by the violation and the profit gained by the violator through committing the crime.  As for the exemptions, in some countries the law exempts thiefs stealing food during a period of famine taking into consideration the distress and hunger.  Also, a person killing in self-defense will be exempted from punishment.",7.5,7.5,7.5,7.5
19,Money can solve all problems. Do you agree or disagree? Why?," In today’s modern world, money plays a major role in men’s lives. Some people think that the most important basic human’s needs such as food, clothing and housing can be solved by money. But I personally believe that in some cases, the acquisition of various sciences and human’s health, can’t be met through money. It’s true that the study of science, like many other activities, is possible with money in the first place; but not all those who have an educational document are literate. Paying a large sum of money, some people are able to obtain a counterfeit document and they even think that they have achieved what they wanted with wealth. However, experience is not something that can be bought; Only with many studies and during many years, human beings achieve their desired knowledge and experience. Before education, food, clothing, and material needs in general, men need health indeed. Only a healthy person can continue studying, working, and ultimately surviving. There are cases in which diseases afflict human beings at exorbitant costs, and those people who are unable to pay these costs say goodbye to life. But this is only one part of the story; there are other cases in which the disease is incurable. Take the present age as an example; human beings have been infected with an unknown virus that even so much wealth cannot save them. Money is actually important; it has always been helping people in many ways. But it can never be considered the cure for all problems. It’s better to consider money as a complement to men’s health, prudence, knowledge and experience for a better life.",8,8,7.5,8
20,Money can solve all problems. Do you agree or disagree? Why?," In today’s modern world, money plays a major role in men’s lives. Some people think that the most important basic human’s needs such as food, clothing and housing can be solved by money. But I personally believe that in some cases, the acquisition of various sciences and human’s health, can’t be met through money. It’s true that the study of science, like many other activities, is possible with money in the first place; but not all those who have an educational document are literate. Paying a large sum of money, some people are able to obtain a counterfeit document and they even think that they have achieved what they wanted with wealth. However, experience is not something that can be bought; Only with many studies and during many years, human beings achieve their desired knowledge and experience. Before education, food, clothing, and material needs in general, men need health indeed. Only a healthy person can continue studying, working, and ultimately surviving. There are cases in which diseases afflict human beings at exorbitant costs, and those people who are unable to pay these costs say goodbye to life. But this is only one part of the story; there are other cases in which the disease is incurable. Take the present age as an example; human beings have been infected with an unknown virus that even so much wealth cannot save them. Money is actually important; it has always been helping people in many ways. But it can never be considered the cure for all problems. It’s better to consider money as a complement to men’s health, prudence, knowledge and experience for a better life.",6.5,7,7,7
21,"What kind of climate do you prefer to live in? Cold, warm, or temperate? Why?"," I choose temperate climate for living in a place. Temperate climate has more advantages than other climate and cold and warm weather has many disadvantages that they are not exist in mild or temperate climate. Because of these reasons that I explain each of them, I prefer temperate climate. There are numerous advantages for temperate climate. Countries with mild climate usually have four seasons and their beauties. People enjoy from watching the nature of the earth, for example: the spring’s flowers views the summer’s fruites, the fall’s colourfull trees view, fall’s rain and snowy wheather in winter. Another season’s beauties is existence of special and tasty fruits in every season severally, specially in summer such as water melon, peach, cheery, fig and so on; There are pomegranate, persimmon, and etc in fall and greengage, strawberry are spring popular friutes. If we have four season and temperate climate country , we will enjoy from some special sports which are in winter such as mountaineering, skiing and which are in summer such as swimming, fishing, and etc. Whatching and felling nature’s beauties in every season is a strong and good reason for living in temperate climate. Living in cold or warm climate have some problems and disadvantages that many people do not prefer to live in that. Some people have their special body nature who can not live in very cold or very warm weather because they may be sick. Catch cold in cold climate and heatstroke in very warm and sultry climate are very common. In very cold climate people usually are depressed and sad because the sun shines less and they usually have lack of vitamin D. The apartments should have advanced facilities for raising or reducing the temperature both in cold climate and warm climate, otherwise they usually worry about gas cut off and power outage. Totally very cold or very hot climate offend the citizens of the cities or the countries. The mild and temperate climate is suitable for living in everywhere. In temperate climate, we do not have any speciall worry or fear about lack of some thing to survive; we can enjoy from season’s beauties. Altogether, I think mild climate has many advantages where is reasonable for living.",7.5,7.5,7,7.5
22,Topic," I agree with the view that stars in the entertainment business are usually over paid. This is true whether we are considering stars of film, sport or popular music, and it often seems that the amount of money they are able to earn in a short time cannot possibly be justified by the amount of work they do.  However, it is also true that it is only those who reach the very top of their profession who can get these huge salaries. So the size of salary that stars expect is closely linked to the competition they have to overcome in order to reach success. They are, in effect, rare talents.  Furthermore, the majority of stars do not hold their top positions long. Sport stars and pop stars, for example, are soon replaced by the next younger more energetic, generation, while the good looks of most film stars quickly fade. So this relatively short working life may be some justification for the very high pay.  Unfortunately, professionals from other fields, who make a much greater contribution to human society, are paid so much less that it is hard to disagree with the statement. Teachers, nurses, laboratory researchers etc. are never listed among the best-paid professionals, yet they are more important to our well-being and our future than the stars who earn their fortunes so quickly.  In conclusion, I think there may be some reasons why entertainment stars earn high salaries but overall I agree that they are overpaid. The gaps between their earnings and those of people who work less selfishly for the good of society cannot be justified. Such professionals should be much better appreciated and better paid.",8.5,8,8.5,8.5
23,Topic," I think it is true that in almost every country today each household and family produces a large amount of waste every week. Most of this rubbish comes from the packaging from the things we buy, such as processed food. But even if we buy fresh food without packaging, we still produce rubbish from the plastic bags used everywhere to carry shopping home.  The reason why we have so much packaging is that we consume so much more on a daily basis than families did in the past. Convenience is also very important in modern life, so we buy packaging or canned food that can be transported from long distances and stored until we need it, first in the supermarket, and then at home.  However, I think the amount of waste produce is also a result of our tendency to use something once and throw it away. We forget that even the cheapest plastic bag has used up valuable resources and energy to produce. We also forget that it is a source of pollution and difficult to dispose of.  I think, therefore, that governments need to raise this awareness in the general public. Children can be educated about environmental issues at school, but adults need to take action. Governments can encourage such action by putting taxes on packaging, such as plastic bags, by providing recycling services and by thing households and shops that do not attempt to recycle their waste.  With the political will, such measures could really reduce the amount of rubbish we produce. Certainly nobody wants to see our resources used up and our planet poisoned by waste.",8,8,8,8
24,Topic," To a large extent, I believe that children are given too much free time. Free time in my opinion refers to time not spent under the direct supervision of a parent, teacher or a person entrusted with the responsibility of bringing up the child. Such time is often spent on several things such as watching television, playing with friends, going to parties, doing home work, playing games on their own among others. Among all of the above, a child could either be influenced by his or her peer group especially when left without attention or be influenced by what he or she watches on television most of which are those not meant to be viewed by the child's age group. In my opinion, most of the formative years of a child should be spent doing school work, engaging in recreational activities that would develop the child emotionally and mentally. I believe this strongly because at a young age, a child is quick to grasp most of all that is seen or heard. For instance, a child who is not used to doing more school work casually referred to as house work.",7,7,7,7
25,Topic," In big business cities there are two options available for the type of accommodation: houses and apartments. Some people prefere to live in apartments and some like to live in houses.  In big business cities, where almost everyone is going out daily for work or study, apartments provide a much more comfortable and safe way of living. The advantages include the fact that there is one key and Lock they have to take care of, and also the sense of being a part of a big family. Usually a guard sits at the main gate, so children can play around in the compound with their next door friends. In addition, not much daily cleaning is regained in apartments as no staircase has to be clean, which is a difficult task - all house wives know it very well. But a key advantage is that it is safe to go on voccation for a long trip.  On the other hand, houses have their own attraction for its inhabitants. Garden lovers usually prefere houses as they can have their own garden. It is also easy to keep a pet, especially a dog in a house because dog can play around the garden. If someone is interested in maintaing cars himself, it can only be possible in houses where one can have his own garage.  Where people are sometimes much more concerned about their privacy, Living in apartments can be a very difficult for them. It may also be the case that someone is not able to deal with other people, for instance next door neighboures, and than house can be a best choice for such people.  However, sometimes houses can be a bad choice for low income people. Maintaing a big house and running it properly can be a problem for such cases.  At the end I must say both options can be good or bad, depending on the personal considerations. But from my point of view, I must say apartments seem a gift of modern way of life which is not common in my home town.",7,7,7,7
